feature,pearson_corr,pearson_p_value,pearson_significant,spearman_corr,spearman_p_value,spearman_significant,abs_pearson,abs_spearman,n_samples
koi_duration,-0.14450520318725232,8.560321793067631e-46,True,-0.09954060232975005,1.7113757262723634e-22,True,0.14450520318725232,0.09954060232975005,9564
ra,-0.14442873249435462,9.5405364853804e-46,True,-0.14376100297039765,2.4524366562095513e-45,True,0.14442873249435462,0.14376100297039765,9564
koi_smass,-0.14317851614988658,5.567715341005499e-45,True,-0.11049723447225404,2.2752870308307458e-27,True,0.14317851614988658,0.11049723447225404,9564
total_fp_flags,-0.13442481340399962,8.273425513460999e-40,True,-0.9266403475254746,0.0,True,0.13442481340399962,0.9266403475254746,9564
koi_slogg,0.13286891904331216,6.337350153247734e-39,True,0.0925019023174566,1.2512469342173143e-19,True,0.13286891904331216,0.0925019023174566,9564
koi_slogg_err1,-0.13198549912872531,1.9918913982906163e-38,True,-0.11661652860917468,2.573888669660129e-30,True,0.13198549912872531,0.11661652860917468,9564
koi_ldm_coeff2,-0.12920566294881664,6.952529371005455e-37,True,-0.1820617415097468,4.566147018336903e-72,True,0.12920566294881664,0.1820617415097468,9564
koi_ror_err1,-0.11485358458462462,1.8875932375587156e-29,True,-0.262774105641454,8.469479155313672e-151,True,0.11485358458462462,0.262774105641454,9564
koi_impact_err1,-0.11102162683049938,1.2906901267087478e-27,True,0.013170419463118461,0.19778148430169853,False,0.11102162683049938,0.013170419463118461,9564
koi_srad_err1,-0.11039014906152994,2.5537049112402433e-27,True,-0.29603520152034196,1.0041687944223494e-192,True,0.11039014906152994,0.29603520152034196,9564
koi_fwm_sdec,0.10961918554306085,5.843444045231686e-27,True,0.10763412418299,4.793117177109545e-26,True,0.10961918554306085,0.10763412418299,9564
dec,0.10903825067391112,1.086125371691819e-26,True,0.10869784064858257,1.55940843951566e-26,True,0.10903825067391112,0.10869784064858257,9564
kepid,0.10671081559957496,1.2589100726481127e-25,True,0.10764706153728865,4.728418869476416e-26,True,0.10671081559957496,0.10764706153728865,9564
koi_quarters,0.09624694875740147,3.977133762531201e-21,True,0.09588631368092436,5.5766932215808026e-21,True,0.09624694875740147,0.09588631368092436,9564
koi_fwm_sra_err,0.08737490159714262,1.1272293713733646e-17,True,0.17286883314723958,4.755696973479427e-65,True,0.08737490159714262,0.17286883314723958,9564
koi_fwm_sdec_err,0.08348427297216462,2.8951911748108724e-16,True,0.1706477681495867,2.0661267151589304e-63,True,0.08348427297216462,0.1706477681495867,9564
koi_fwm_sdeco_err,0.0828293189479873,4.92889709167453e-16,True,0.17022431836371982,4.216008604762153e-63,True,0.0828293189479873,0.17022431836371982,9564
koi_fwm_srao_err,0.0793083360116397,8.021659724436211e-15,True,0.16667816837331378,1.5384250878016812e-60,True,0.0793083360116397,0.16667816837331378,9564
koi_srad_err2,0.07328353590626817,7.202888455137347e-13,True,0.18265772036152672,1.5534076970200853e-72,True,0.07328353590626817,0.18265772036152672,9564
koi_dikco_mdec_err,0.06936148550072485,1.1170862745977249e-11,True,0.23965031694520683,5.244542732736746e-125,True,0.06936148550072485,0.23965031694520683,9564
koi_srad,-0.06809213376041494,2.6289578252331487e-11,True,-0.10137610229028918,2.8316099387041934e-23,True,0.06809213376041494,0.10137610229028918,9564
koi_period_err2,0.0661168169666635,9.66002948231702e-11,True,-0.2702435088884632,1.039573460419201e-159,True,0.0661168169666635,0.2702435088884632,9564
koi_period_err1,-0.0661168169666635,9.66002948231702e-11,True,0.2702435088884632,1.039573460419201e-159,True,0.0661168169666635,0.2702435088884632,9564
koi_duration_err1,-0.06567869428812909,1.2827987635292377e-10,True,0.07013480023045685,6.5823010601273355e-12,True,0.06567869428812909,0.07013480023045685,9564
koi_duration_err2,0.06567869428812909,1.2827987635292377e-10,True,-0.07013480023045685,6.5823010601273355e-12,True,0.06567869428812909,0.07013480023045685,9564
koi_gmag,0.06270284568280654,8.393212271946491e-10,True,0.060032315076335545,4.2173583257320626e-09,True,0.06270284568280654,0.060032315076335545,9564
koi_dicco_mdec_err,0.062050162457001276,1.2530899999823317e-09,True,0.21910045314693474,2.6450958108675576e-104,True,0.062050162457001276,0.21910045314693474,9564
koi_impact,-0.06026913295539378,3.664782979522405e-09,True,-0.28332900514628756,5.092940672384747e-176,True,0.06026913295539378,0.28332900514628756,9564
koi_insol_err1,-0.05782834034823942,1.5193835856055364e-08,True,-0.29453619516755364,1.0416770562086757e-190,True,0.05782834034823942,0.29453619516755364,9564
koi_kepmag,0.05375396536855962,1.4403755127045134e-07,True,0.05031995351539563,8.498762913634528e-07,True,0.05375396536855962,0.05031995351539563,9564
koi_dikco_mra_err,0.052133099052352826,3.3751439350405285e-07,True,0.22980157340657748,7.906745445300108e-115,True,0.052133099052352826,0.22980157340657748,9564
koi_rmag,0.051657739901378896,4.312495638270109e-07,True,0.04802459330838395,2.6182761533951703e-06,True,0.051657739901378896,0.04802459330838395,9564
koi_ror,-0.048938741181014295,1.6824856302055213e-06,True,-0.253256368976647,7.402264564311724e-140,True,0.048938741181014295,0.253256368976647,9564
koi_dikco_msky_err,0.04879284090775754,1.8064726170424684e-06,True,0.2202401286133372,2.127352769939461e-105,True,0.04879284090775754,0.2202401286133372,9564
koi_zmag,0.048206243665266726,2.3994887937026595e-06,True,0.03594048729496102,0.00043892412135654356,True,0.048206243665266726,0.03594048729496102,9564
koi_ror_err2,0.04796189629518176,2.6981414063490476e-06,True,0.23831396562647536,1.3449038749335505e-123,True,0.04796189629518176,0.23831396562647536,9564
koi_dicco_mra_err,0.04736768227257666,3.5805786000158115e-06,True,0.20632263820570973,1.8659973107218095e-92,True,0.04736768227257666,0.20632263820570973,9564
koi_imag,0.04693966526935697,4.381166236930142e-06,True,0.03983614329663156,9.745545363806923e-05,True,0.04693966526935697,0.03983614329663156,9564
koi_dicco_msky_err,0.04360207372428357,1.9939541563865262e-05,True,0.19246814606494078,1.772380343536278e-80,True,0.04360207372428357,0.19246814606494078,9564
koi_insol,-0.042846736327321555,2.769892305526631e-05,True,-0.2800882357974344,6.761020962452054e-172,True,0.042846736327321555,0.2800882357974344,9564
